symbol,daily_ticker,asset_class,group,lumibot_type,long_only,cost_bps,role,active
BTC,BTC-USD,CRYPTO,crypto,crypto,1,10,core,1
ETH,ETH-USD,CRYPTO,crypto,crypto,1,10,core,1
SOL,SOL-USD,CRYPTO,crypto,crypto,1,12,core,1
BNB,BNB-USD,CRYPTO,crypto,crypto,1,12,core,1
XRP,XRP-USD,CRYPTO,crypto,crypto,1,12,core,1
ADA,ADA-USD,CRYPTO,crypto,crypto,1,15,core,1
AVAX,AVAX-USD,CRYPTO,crypto,crypto,1,15,core,1
LINK,LINK-USD,CRYPTO,crypto,crypto,1,15,core,1
LTC,LTC-USD,CRYPTO,crypto,crypto,1,15,core,1
DOGE,DOGE-USD,CRYPTO,crypto,crypto,1,15,core,1
DOT,DOT-USD,CRYPTO,crypto,crypto,1,15,core,1
UNI,UNI7083-USD,CRYPTO,crypto,crypto,1,15,core,1
AAVE,AAVE-USD,CRYPTO,crypto,crypto,1,15,core,1
ATOM,ATOM-USD,CRYPTO,crypto,crypto,1,15,core,1
NEAR,NEAR-USD,CRYPTO,crypto,crypto,1,15,core,1
XLM,XLM-USD,CRYPTO,crypto,crypto,1,15,core,1
SPY,SPY,EQUITY,equity_broad,stock,0,2,core,1
QQQ,QQQ,EQUITY,equity_broad,stock,0,2,core,1
IWM,IWM,EQUITY,equity_broad,stock,0,3,core,1
DIA,DIA,EQUITY,equity_broad,stock,0,3,core,1
XLK,XLK,EQUITY,equity_sector,stock,0,3,core,1
XLF,XLF,EQUITY,equity_sector,stock,0,3,core,1
XLE,XLE,EQUITY,equity_sector,stock,0,3,core,1
XLV,XLV,EQUITY,equity_sector,stock,0,3,core,1
XLI,XLI,EQUITY,equity_sector,stock,0,3,core,1
XLY,XLY,EQUITY,equity_sector,stock,0,3,core,1
XLP,XLP,EQUITY,equity_sector,stock,0,3,core,1
XLU,XLU,EQUITY,equity_sector,stock,0,3,core,1
XLB,XLB,EQUITY,equity_sector,stock,0,3,core,1
SMH,SMH,EQUITY,equity_sector,stock,0,3,core,1
XLC,XLC,EQUITY,equity_sector,stock,0,3,core,1
XBI,XBI,EQUITY,equity_sector,stock,0,4,core,1
KRE,KRE,EQUITY,equity_sector,stock,0,4,core,1
IYR,IYR,EQUITY,equity_sector,stock,0,4,core,1
XOP,XOP,EQUITY,equity_sector,stock,0,4,core,1
ARKK,ARKK,EQUITY,equity_sector,stock,0,4,core,1
GLD,GLD,METAL,metal,stock,1,3,core,1
SLV,SLV,METAL,metal,stock,1,4,core,1
